Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
44		2.6976		2.7081		0.0000		0.4148		0.00040212
45		2.6994		2.7084		0.0000		0.4103		0.00039981
46		2.7019		2.7189		0.0000		0.4025		0.00039750
47		2.6973		2.7130		0.0000		0.4287		0.00039520
48		2.6992		2.7103		0.0000		0.4130		0.00039288
49		2.6963		2.7044		0.0000		0.4700		0.00039057
50		2.6937		2.7061		0.0000		0.4467		0.00038826
51		2.6937		2.7029		0.0000		0.4416		0.00038594
52		2.6928		2.7084		0.0000		0.4415		0.00038363
53		2.6973		2.7101		0.0000		0.4442		0.00038131
54		2.6940		2.7111		0.0000		0.4080		0.00037899
55		2.6945		2.7065		0.0000		0.4489		0.00037667
56		2.6930		2.7092		0.0000		0.4504		0.00037435
57		2.6928		2.7015		0.0000		0.4545		0.00037202
58		2.7004		2.7184		0.0000		0.4220		0.00036970
59		2.6933		2.7122		0.0000		0.4230		0.00036737
60		2.6930		2.7033		0.0000		0.4471		0.00036504
61		2.6903		2.7006		0.0000		0.4557		0.00036271
62		2.6903		2.7133		0.0000		0.4656		0.00036038
63		2.6925		2.7039		0.0000		0.4740		0.00035804
64		2.6912		2.7022		0.0000		0.4396		0.00035571
65		2.6886		2.7024		0.0000		0.4537		0.00035337
66		2.6917		2.7082		0.0000		0.4432		0.00035103
67		2.6911		2.7134		0.0000		0.4364		0.00034869
68		2.6905		2.7156		0.0000		0.4421		0.00034635
69		2.6916		2.6942		0.0000		0.4578		0.00034400
70		2.6884		2.6977		0.0000		0.4468		0.00034165
71		2.6868		2.6972		0.0000		0.4586		0.00033931
72		2.6860		2.7022		0.0000		0.4576		0.00033696
73		2.6866		2.6995		0.0000		0.4529		0.00033460
74		2.6883		2.7031		0.0000		0.4435		0.00033225
75		2.6858		2.7033		0.0000		0.4729		0.00032990
76		2.6925		2.6989		0.0000		0.4630		0.00032754
77		2.6873		2.7070		0.0000		0.4505		0.00032518
78		2.6854		2.6954		0.0000		0.4819		0.00032282
79		2.6854		2.7049		0.0000		0.4666		0.00032045
80		2.6840		2.6977		0.0000		0.4603		0.00031809
81		2.6843		2.6951		0.0000		0.4627		0.00031572
82		2.6829		2.6993		0.0000		0.4710		0.00031335
83		2.6854		2.7017		0.0000		0.4226		0.00031098
84		2.6849		2.7174		0.0000		0.4524		0.00030861
85		2.6876		2.6950		0.0000		0.4713		0.00030624
86		2.6818		2.6970		0.0000		0.4871		0.00030386
87		2.6827		2.6944		0.0000		0.4895		0.00030148
88		2.6852		2.7048		0.0000		0.4562		0.00029910
89		2.6818		2.6914		0.0000		0.4848		0.00029671
90		2.6847		2.6966		0.0000		0.4504		0.00029433
91		2.6817		2.7048		0.0000		0.4557		0.00029194
92		2.6802		2.6979		0.0000		0.4913		0.00028955
93		2.6808		2.7032		0.0000		0.4502		0.00028716
94		2.6842		2.6995		0.0000		0.4788		0.00028477
95		2.6809		2.6963		0.0000		0.4774		0.00028237
96		2.6808		2.7004		0.0000		0.4616		0.00027997
97		2.6807		2.6921		0.0000		0.4978		0.00027757
98		2.6793		2.6993		0.0000		0.4673		0.00027517
99		2.6799		2.6965		0.0000		0.4850		0.00027276
100		2.6813		2.6972		0.0000		0.4902		0.00027035
101		2.6781		2.7011		0.0000		0.4840		0.00026794
102		2.6803		2.6976		0.0000		0.4584		0.00026553
103		2.6796		2.6935		0.0000		0.4942		0.00026312
104		2.6818		2.6924		0.0000		0.4784		0.00026070
105		2.6758		2.6925		0.0000		0.4971		0.00025828
106		2.6810		2.6979		0.0000		0.4820		0.00025586
107		2.6812		2.6956		0.0000		0.4893		0.00025343
108		2.6768		2.6941		0.0000		0.4955		0.00025100
109		2.6763		2.6950		0.0000		0.4943		0.00024857
110		2.6762		2.6944		0.0000		0.4898		0.00024614
111		2.6789		2.6935		0.0000		0.4813		0.00024370
112		2.6764		2.6935		0.0000		0.5172		0.00024126
113		2.6771		2.6914		0.0000		0.5070		0.00023882
114		2.6745		2.6939		0.0000		0.4911		0.00023638
115		2.6776		2.6937		0.0000		0.4886		0.00023393
116		2.6759		2.7051		0.0000		0.4671		0.00023148
117		2.6790		2.7002		0.0000		0.4470		0.00022903
118		2.6788		2.7086		0.0000		0.4284		0.00022658
119		2.6800		2.6958		0.0000		0.5021		0.00022412
120		2.6732		2.6888		0.0000		0.5074		0.00022166
121		2.6721		2.6896		0.0000		0.5070		0.00021919
122		2.6715		2.6908		0.0000		0.5039		0.00021672
123		2.6773		2.6885		0.0000		0.4987		0.00021425
124		2.6727		2.6911		0.0000		0.4982		0.00021178
125		2.6765		2.6907		0.0000		0.5033		0.00020930
126		2.6740		2.6934		0.0000		0.5189		0.00020682
127		2.6770		2.6892		0.0000		0.5006		0.00020434
128		2.6717		2.6867		0.0000		0.5107		0.00020185
129		2.6711		2.6946		0.0000		0.5020		0.00019936
130		2.6720		2.6956		0.0000		0.5062		0.00019687
131		2.6721		2.6923		0.0000		0.4873		0.00019437
132		2.6715		2.6976		0.0000		0.4787		0.00019187
133		2.6713		2.6883		0.0000		0.5113		0.00018937
134		2.6721		2.6936		0.0000		0.5021		0.00018686
135		2.6730		2.7011		0.0000		0.4790		0.00018435
136		2.6709		2.6911		0.0000		0.5069		0.00018183
