Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
194		0.2838		0.7843		0.0000		0.5160		0.00019770
195		0.2782		0.8140		0.0000		0.5167		0.00019604
196		0.2776		0.7818		0.0000		0.5190		0.00019437
197		0.2741		0.8226		0.0000		0.5098		0.00019270
198		0.2835		0.8222		0.0000		0.5015		0.00019104
199		0.2784		0.7944		0.0000		0.5168		0.00018937
200		0.2845		0.9763		0.0000		0.4387		0.00018769
201		0.2956		0.8153		0.0000		0.4983		0.00018602
202		0.2751		0.7849		0.0000		0.5252		0.00018435
203		0.2703		0.7714		0.0000		0.5116		0.00018267
204		0.2711		0.7574		0.0000		0.4964		0.00018099
205		0.2699		0.8044		0.0000		0.5199		0.00017931
206		0.2758		0.8533		0.0000		0.5039		0.00017763
207		0.2786		0.7676		0.0000		0.5093		0.00017594
208		0.2663		0.8254		0.0000		0.5202		0.00017426
209		0.2757		0.7961		0.0000		0.5116		0.00017257
210		0.2682		0.8591		0.0000		0.5223		0.00017088
211		0.2695		0.7622		0.0000		0.5152		0.00016919
212		0.2670		0.8252		0.0000		0.5284		0.00016750
213		0.2634		0.8108		0.0000		0.5159		0.00016580
214		0.2661		0.8531		0.0000		0.5259		0.00016411
215		0.2631		0.7955		0.0000		0.4838		0.00016241
216		0.2676		0.8084		0.0000		0.5069		0.00016071
217		0.2606		0.8293		0.0000		0.5240		0.00015901
218		0.2628		0.7997		0.0000		0.5198		0.00015730
219		0.2653		0.7999		0.0000		0.5170		0.00015559
220		0.2734		0.7857		0.0000		0.5228		0.00015389
221		0.2607		0.8108		0.0000		0.5260		0.00015217
222		0.2583		0.8360		0.0000		0.5074		0.00015046
223		0.2656		0.8223		0.0000		0.4964		0.00014875
224		0.2673		0.9232		0.0000		0.4645		0.00014703
225		0.2681		0.8038		0.0000		0.5197		0.00014531
226		0.2578		0.8305		0.0000		0.5292		0.00014359
227		0.2565		0.8461		0.0000		0.5122		0.00014186
228		0.2575		0.8127		0.0000		0.5146		0.00014014
229		0.2553		0.8155		0.0000		0.5160		0.00013841
230		0.2529		0.8434		0.0000		0.5239		0.00013668
231		0.2597		0.8147		0.0000		0.5222		0.00013494
232		0.2515		0.8198		0.0000		0.5356		0.00013321
233		0.2511		0.8176		0.0000		0.5167		0.00013147
234		0.2513		0.8757		0.0000		0.5310		0.00012973
235		0.2516		0.8401		0.0000		0.5150		0.00012798
236		0.2560		0.8003		0.0000		0.5183		0.00012624
237		0.2959		0.7925		0.0000		0.5103		0.00012449
238		0.2542		0.7985		0.0000		0.5215		0.00012273
239		0.2477		0.8209		0.0000		0.5317		0.00012098
240		0.2486		0.8036		0.0000		0.5249		0.00011922
241		0.2476		0.8295		0.0000		0.5324		0.00011746
242		0.2466		0.8431		0.0000		0.5366		0.00011570
243		0.2489		0.8457		0.0000		0.5271		0.00011393
244		0.2452		0.8317		0.0000		0.5230		0.00011216
245		0.2459		0.8439		0.0000		0.5348		0.00011039
246		0.2441		0.8781		0.0000		0.5012		0.00010861
247		0.2463		0.8309		0.0000		0.5162		0.00010684
248		0.2465		0.8104		0.0000		0.5174		0.00010505
249		0.2471		0.8609		0.0000		0.5194		0.00010327
250		0.2451		0.8167		0.0000		0.5278		0.00010148
251		0.2423		0.8789		0.0000		0.5050		0.00009969
